standardized_smiles,pchembl_value_cxcr1,molecule_chembl_id_cxcr1,assay_chembl_id_cxcr1,document_chembl_id_cxcr1,assay_description_cxcr1,pchembl_value_cxcr2,molecule_chembl_id_cxcr2,assay_chembl_id_cxcr2,document_chembl_id_cxcr2,assay_description_cxcr2,Selectivity_Score
CN(C)S(=O)(=O)c1c(Cl)ccc(NC(=O)Nc2ccccc2Br)c1O,5.37,CHEMBL183222,CHEMBL828743,CHEMBL1137097,Concentration required to inhibit [125I]-IL-8 binding towards C-X-C chemokine receptor type 1 of human expressed in CHO cells,7.92,CHEMBL183222,CHEMBL828744,CHEMBL1137097,Concentration required to inhibit [125I]IL-8 binding towards C-X-C chemokine receptor type 2 of human expressed in CHO cells,2.55
CN(C)S(=O)(=O)c1c(F)ccc(N=C(NC#N)Nc2ccccc2Br)c1O,6.72,CHEMBL375393,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,8.4,CHEMBL375393,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,1.6800000000000006
C[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccccc1,5.51,CHEMBL1162935,CHEMBL912816,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR1 receptor expressed in BaF3 cells,7.77,CHEMBL1162935,CHEMBL909848,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR2 receptor expressed in BaF3 cells,2.26
Cc1ccc(N=C(NC#N)Nc2ccccc2Br)c(O)c1S(=O)(=O)N(C)C,6.73,CHEMBL376540,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,8.15,CHEMBL376540,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,1.42
Cc1ccc([C@@H](C)Nc2c(Nc3cccc(C(=O)N(C)C)c3O)c(=O)c2=O)o1,6.11,CHEMBL216602,CHEMBL912816,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR1 receptor expressed in BaF3 cells,8.27,CHEMBL216602,CHEMBL909848,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR2 receptor expressed in BaF3 cells,2.1599999999999993
Cc1ccc([C@H](Nc2c(Nc3cccc(C(=O)N(C)C)c3O)c(=O)c2=O)C(C)(C)C)o1,7.96,CHEMBL376414,CHEMBL912816,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR1 receptor expressed in BaF3 cells,8.42,CHEMBL376414,CHEMBL909848,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR2 receptor expressed in BaF3 cells,0.45999999999999996
Cc1ccc([C@H](Nc2c(Nc3cccc(C(=O)N(C)C)c3O)c(=O)c2=O)C(C)C)o1,7.47,CHEMBL384889,CHEMBL912816,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR1 receptor expressed in BaF3 cells,8.21,CHEMBL384889,CHEMBL909848,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR2 receptor expressed in BaF3 cells,0.7400000000000011
Cc1ccc([C@H](Nc2c(Nc3cccc(C(=O)N(C)C)c3O)c(=O)c2=O)C2CC2)o1,7.26,CHEMBL216603,CHEMBL912816,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR1 receptor expressed in BaF3 cells,8.44,CHEMBL216603,CHEMBL909848,CHEMBL1138214,Displacement of [125I]hCXCL8 from human CXCR2 receptor expressed in BaF3 cells,1.1799999999999997
Cc1ccccc1N=C(NC#N)Nc1ccc(Cl)c(S(=O)(=O)N(C)C)c1O,6.42,CHEMBL220860,CHEMBL908414,CHEMBL1139694,Displacement of [125I]IL8 from CXCR1 expressed in CHO cells,7.77,CHEMBL220860,CHEMBL908413,CHEMBL1139694,Displacement of [125I]IL8 from CXCR2 expressed in CHO cells,1.3499999999999996
N#Cc1c(Cl)ccc(NC(=O)Nc2ccccc2Br)c1O,4.96,CHEMBL26830,CHEMBL656546,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,7.24,CHEMBL26830,CHEMBL656551,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 2 expressed in CHO Cells using [125I]IL-8 radioligand,2.2800000000000002
N#Cc1ccc(NC(=O)Nc2ccccc2)c(O)c1,4.68,CHEMBL25573,CHEMBL656546,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,6.7,CHEMBL25573,CHEMBL903301; CHEMBL656551,CHEMBL1149089; CHEMBL1139102,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 2 expressed in CHO Cells using [125I]IL-8 radioligand; Displacement of [125I]IL8 from human recombinant CXCR2 expressed in CHO cells,2.0200000000000005
N#Cc1ccc(NC(=O)Nc2ccccc2Br)c(O)c1,4.82,CHEMBL27863,CHEMBL656546,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,7.6,CHEMBL27863,CHEMBL903301; CHEMBL656551,CHEMBL1149089; CHEMBL1139102,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 2 expressed in CHO Cells using [125I]IL-8 radioligand; Displacement of [125I]IL8 from human recombinant CXCR2 expressed in CHO cells,2.7799999999999994
N#Cc1ccc(NC(=O)Nc2ccccc2Br)c(O)c1Br,5.58,CHEMBL28009,CHEMBL656546,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,8.22,CHEMBL28009,CHEMBL656551,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 2 expressed in CHO Cells using [125I]IL-8 radioligand,2.6400000000000006
N#Cc1ccc(NC(=O)Nc2ccccc2Br)c(O)c1Cl,5.38,CHEMBL27446,CHEMBL656546,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,7.66,CHEMBL27446,CHEMBL656551,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 2 expressed in CHO Cells using [125I]IL-8 radioligand,2.2800000000000002
NC(=O)c1c(Cl)ccc(NC(=O)Nc2ccccc2Br)c1O,5.22,CHEMBL184185,CHEMBL828743,CHEMBL1137097,Concentration required to inhibit [125I]-IL-8 binding towards C-X-C chemokine receptor type 1 of human expressed in CHO cells,8.0,CHEMBL184185,CHEMBL828744,CHEMBL1137097,Concentration required to inhibit [125I]IL-8 binding towards C-X-C chemokine receptor type 2 of human expressed in CHO cells,2.7800000000000002
NCc1c(Cl)ccc(NC(=O)Nc2ccccc2Br)c1O,4.52,CHEMBL535818,CHEMBL828743,CHEMBL1137097,Concentration required to inhibit [125I]-IL-8 binding towards C-X-C chemokine receptor type 1 of human expressed in CHO cells,6.94,CHEMBL535818,CHEMBL828744,CHEMBL1137097,Concentration required to inhibit [125I]IL-8 binding towards C-X-C chemokine receptor type 2 of human expressed in CHO cells,2.420000000000001
NS(=O)(=O)c1c(Cl)ccc(NC(=O)Nc2ccccc2Br)c1O,5.87,CHEMBL359670,CHEMBL828743,CHEMBL1137097,Concentration required to inhibit [125I]-IL-8 binding towards C-X-C chemokine receptor type 1 of human expressed in CHO cells,8.15,CHEMBL359670,CHEMBL828744,CHEMBL1137097,Concentration required to inhibit [125I]IL-8 binding towards C-X-C chemokine receptor type 2 of human expressed in CHO cells,2.2800000000000002
O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br,7.66,CHEMBL239767,CHEMBL2184855,CHEMBL2176887,Antagonist activity at CXCR1 assessed as inhibition of CXCL8 binding by cell based assay,7.66,CHEMBL239767,CHEMBL2184853; CHEMBL903301,CHEMBL2176887; CHEMBL1139102,Displacement of [125I]IL8 from human recombinant CXCR2 expressed in CHO cells; Binding affinity to CXCR2,0.0
O=C(Nc1ccccc1)Nc1cc([N+](=O)[O-])ccc1O,4.33,CHEMBL24912,CHEMBL656546,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,4.96,CHEMBL24912,CHEMBL656551,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 2 expressed in CHO Cells using [125I]IL-8 radioligand,0.6299999999999999
O=C(Nc1ccccc1)Nc1ccc([N+](=O)[O-])cc1O,4.74,CHEMBL280711,CHEMBL656546,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,6.5,CHEMBL280711,CHEMBL903301; CHEMBL656551,CHEMBL1149089; CHEMBL1139102,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 2 expressed in CHO Cells using [125I]IL-8 radioligand; Displacement of [125I]IL8 from human recombinant CXCR2 expressed in CHO cells,1.7599999999999998
O=C(Nc1ccccc1)Nc1cccc([N+](=O)[O-])c1O,4.48,CHEMBL283736,CHEMBL656546,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 1 expressed in CHO Cells using [125I]IL-8 radioligand,6.07,CHEMBL283736,CHEMBL656551,CHEMBL1149089,Inhibition of binding of IL-8 to membranes of cloned CXC chemokine receptor 2 expressed in CHO Cells using [125I]IL-8 radioligand,1.5899999999999999
O=C(Nc1ccccc1Br)Nc1ccc(Cl)c(Cl)c1O,4.87,CHEMBL185259,CHEMBL828743,CHEMBL1137097,Concentration required to inhibit [125I]-IL-8 binding towards C-X-C chemokine receptor type 1 of human expressed in CHO cells,7.2,CHEMBL185259,CHEMBL828744,CHEMBL1137097,Concentration required to inhibit [125I]IL-8 binding towards C-X-C chemokine receptor type 2 of human expressed in CHO cells,2.33
O=S1(=O)N=C(Nc2cccc(F)c2Cl)Nc2c(O)cc(Cl)cc21,4.89,CHEMBL393253,CHEMBL896518,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR1 receptor expressed in CHO cells,7.19,CHEMBL393253,CHEMBL896516,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR2 receptor expressed in CHO cells,2.3000000000000007
O=S1(=O)N=C(Nc2ccccc2Br)Nc2c(O)cc(Cl)cc21,4.89,CHEMBL393047,CHEMBL896518,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR1 receptor expressed in CHO cells,7.19,CHEMBL393047,CHEMBL896516,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR2 receptor expressed in CHO cells,2.3000000000000007
O=S1(=O)N=C(Nc2ccccc2Cl)Nc2c(O)cc(Cl)cc21,4.62,CHEMBL234186,CHEMBL896518,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR1 receptor expressed in CHO cells,7.04,CHEMBL234186,CHEMBL896516,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR2 receptor expressed in CHO cells,2.42
O=S1(=O)N=C(Nc2ccccc2Oc2ccccc2)Nc2c(O)cc(Cl)cc21,4.7,CHEMBL233346,CHEMBL896518,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR1 receptor expressed in CHO cells,7.27,CHEMBL233346,CHEMBL896516,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR2 receptor expressed in CHO cells,2.5699999999999994
O=[N+]([O-])c1cc(O)c2c(c1)S(=O)(=O)N=C(Nc1ccccc1Br)N2,5.5,CHEMBL443583,CHEMBL896518,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR1 receptor expressed in CHO cells,7.58,CHEMBL443583,CHEMBL896516,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR2 receptor expressed in CHO cells,2.08
O=[N+]([O-])c1cc(O)c2c(c1)S(=O)(=O)N=C(Nc1ccccc1Cl)N2,4.92,CHEMBL231924,CHEMBL896518,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR1 receptor expressed in CHO cells,7.09,CHEMBL231924,CHEMBL896516,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR2 receptor expressed in CHO cells,2.17
O=[N+]([O-])c1cc(O)c2c(c1)S(=O)(=O)N=C(Nc1ccccc1Oc1ccccc1)N2,5.12,CHEMBL399203,CHEMBL896518,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR1 receptor expressed in CHO cells,7.27,CHEMBL399203,CHEMBL896516,CHEMBL1149534,Displacement of human recombinant [125I]IL8 from CXCR2 receptor expressed in CHO cells,2.1499999999999995
